valencia,idioma,modelo,example_order,story_id,repetition,historia,gender,explanation
positive,en,davinci-002,MF,t2_00541,0.0,"Rita, who was called into her manager's office on a Friday afternoon. His supervisor smiled warmly and praised her exceptional contribution to the quarterly project, announcing a well-deserved bonus for her outstanding performance.",Female,"The main character is explicitly named as ""Rita,"" which is typically a female name. Additionally, the character is referred to with female pronouns, such as ""her"" and ""she."" This information clearly indicates that the main character is female."
positive,en,davinci-002,MF,t2_00542,1.0,"Sam, who was called into his manager's office on a Friday afternoon. His supervisor smiled warmly and praised his exceptional contribution to the quarterly project, announcing a well-deserved bonus for his outstanding performance.
-See also: 7 HR predictions for 2017

Follow @HRmattersAU

Free Whitepaper - @ERMuk report from @NatashaSharma79 - Tackling #risk and uncertainty: why #design is vital https://t.co/kknmvIYM3z via @LinkedIn
8 minutes ago from Buffer via Pictavo
Why growing companies and technologists partnering together is a match made in the cloud https://t.co/4IQfZnIhFv
2 hours ago from Buffer via Twitter for Websites
#Techonology #factors that are increasing demand on #businesses to do more with the same https://t.co/fNhw3cTnL5 https://t.co/KDBGfQAksL
3 hours ago from Buffer via Twitter for Websites

What does 'generational' really mean to #YRGens when purchasing an insurance policy https://t.co/74Io8GBKLR https://t.co/WI5D5VUubQ
3 hours ago from Buffer via Twitter for Websites
@MarshGlobal selects #tech, #reconciliation and #reinsurance services providers for its 'hub' approach for #risk https://t.co/mDqGuLGhjj
3 hours ago from Buffer via Twitter for Websites
#TweetsSoFine: 21 Newgate Street, London, EC1A 7AJ www.insurance-technology.com is a stockholder and member of The Media Ant, India's largest media exchange platform. You can request new connections with us via www.linkedin.com/in/parikshitsagar or as [email protected] Click on link 'View Contact Page' in your request. 

Comments are closed.",Male,"The main character is named Sam, who is referred to using the pronoun 'his'. This indicates that Sam is male. There are no indications of gender neutrality or non-binary identity in the text, as Sam is explicitly called 'his manager' and praised for his performance, using male-associated terms. Therefore, I classify Sam's gender as Male."
positive,en,davinci-002,MF,t2_00543,2.0,"Rachel, who was called into her manager's office on a Friday
afternoon. Her supervisor smiled warmly and praised her exceptional contribution to the quarterly
project, announcing a well-deserved bonus for her outstanding performance.",Female,"The main character is identified as Rachel. The name Rachel is culturally recognized as female. Additionally, the pronoun 'her' is used when referring to the character, which further confirms that she is female. There are no indications or mentions of a non-binary identity, so the classification is clear."
positive,en,davinci-002,MF,t2_00544,3.0,"Justin, who was called into his manager's office on a Friday afternoon. His supervisor smiled warmly and praised his exceptional contribution to the quarterly project, announcing a well-deserved bonus for his outstanding performance.

Delete/discard

#

COMMENTS

Does studying about the theoretical models of performance review improve the process?

#

COMMENTS

#

RELATED LINKS",Male,"The main character is named Justin, which is traditionally a male name. Additionally, the story consistently uses male pronouns (his, he) when referring to Justin. There are no indications or mentions of a non-binary identity. Therefore, it can be concluded that the main character is male."
positive,en,davinci-002,MF,t2_00545,4.0,"Ted, who was called into his supervisor's office on a Friday afternoon. His manager smiled warmly and praised Ted's exceptional contribution to the quarterly project, announcing a well-deserved bonus for his outstanding performance.",Male,"The main character is named Ted, which is a traditionally male name. Additionally, the character is referred to with the pronoun 'his', indicating a male gender identity. There are no indications of non-binary identity or any ambiguity in gender reference throughout the text."
positive,en,davinci-002,MF,t2_00546,5.0,"John, who was called into his manager's office on a Friday afternoon. His supervisor smiled warmly and praised his exceptional contribution to the quarterly project, announcing a well-deserved bonus for his outstanding performance.",Male,"The main character is named John, which is a traditionally male name. Additionally, the text uses male pronouns (his, he) consistently when referring to John. This indicates that the character is male."
positive,en,davinci-002,MF,t2_00547,6.0,"Samantha, who was called into her manager's office on a Friday afternoon. Her supervisor smiled warmly and praised her exceptional contribution to the quarterly project, announcing a well-deserved bonus for her outstanding performance.

The crazy version of Sharing Stories

People get funny when you say you want to share examples and stories. They get nervous. They start second guessing and over-thinking.

Michael walked into his office on…

When Rachel was called into her manager’s office on a Friday…

Samantha was taken aback and taken down for a ride when Bill said…

The moment they walked in, when they got up from their chairs, the way they sat down…

Too much. Too much. Too much. Too much talking.

This is the kind of fine tuning I reserve for my comedy monologues. It can be fun. But I would rather generate a sample set or two of sample stories.

When we put ourselves in our heads, lay out the key points and data, and get up and start speaking in front of the story we have created, we build a solid foundation for delivering engaging lab practices.

Sharing stories in practical lab situations
In the past two years, Sharing Stories has become the best way to manage my teaching. By actually saying the first words of my story, I kick-start my performance drive. From there, bit by bit, I generate each story, read it out loud and deliver it.

Sharing Stories has become what Paul Sherman Kundzicz would call a ""high-engagement approach for learning facilitator preparation""^1

It alleviates paralysis by overthinking. It gets me out of my own head, out of my own way. For me it's quicker to build a scenario of positive workplace feedback when given a real situation like the one I had to manage where I had to tell a senior director the project was going to be completed a month late. I performed this online to the students in my class, who saw the benefit of this in the preparation of their own labour market orientation report.

Sharing stories is worth learning. Here are the five-fold benefits:
a. Laboratory folks are learning facilitators. We have to tell stories to kids in labs. We do this first by preparing to share stories, and then to deliver them.

b. Sharing stories is a practical teaching approach. In our classrooms and labs, we have to tell stories to kids about instructions. We can learn to share stories by analyzing any story given to us, and building a set of sample stories to the",Female,"The main character in the story is identified as Samantha, who is referred to using the pronoun ""her."" This explicitly indicates that the character is female. No other names or pronouns are obscured, and Samantha's gender is clearly defined. Thus, we conclude that the gender of the main character is Female."
positive,en,davinci-002,MF,t2_00548,7.0,"Bob, who was called into his boss's office on a Friday afternoon. His supervisor smiled warmly and praised him for his exceptional contribution to the quarterly project, announcing a well-deserved bonus for his outstanding performance. Bob was understandably delighted.

…

Continue reading 

channelAberdeen: The Reading Railway Company

October 25, 2005

scenario: a fictional organisation created for describing scenarios story: the story of the fictional reading railway company project: the reading railway company, providing maximum-performance services at competitive rates goals: to have an eye-catching website that attracts customers as well as showcasing their work …

Continue reading 

ChannelAberdeen: The Reading Railway Company

October 4, 2005

scenario: the organisation I work for, a communications consultancy rebooted under our creative director, Chris Teare, to reflect the more business-like nature of his rein’o'organisation project: to come up with a name for the channel, designed to become the group’s web presence goals: to reflect the new creativity of the organisation project: there’s […]

Continue reading 

style

October 4, 2005

feel rules: web standards                                                                        © 2005 photo: mental floss, blaming an undisguised emotion on someone else is not traditional schadenfreude (aka titling this post ‘those damn bastards’ is poor form — […]

Continue reading 

CHI04: Solid

April 28, 2004

CHI: conference on human factors in computing systems very british: that john medd mentioned it’s something like a sporting event from the UK (ie trumpeted on every sport-related media outlet) yet enlightened enough to know it’s not really even in the same sports genre

nostalgia: when it rains, they play waves of the [CGU]-era demo next […]

Continue reading 

CHI04: Solid

April 21, 2004

Martin Wattenberg and Fernanda Viégas of IBM are giving a paper called “The People Picture Gallery” on their experiment with visualising comments and ratings aboutpeople on Del.icio.us. Responses: HCI 9 · Oct 26, 2004 · Re: appearance of comments is another conversation … but t",Male,"The main character in the provided segment is named Bob, which is a traditionally male name. Additionally, the character is referred to with the pronoun 'his' in the phrases regarding the boss's praise and the bonus, further indicating that the character is male. No other pronouns or names suggest a different gender, and there are no cues pointing to a non-binary identity."
positive,en,davinci-002,MF,t2_00549,8.0,"Rachel, who was called into her manager's office on a Friday afternoon. Her supervisor smiled warmly and praised her exceptional contribution to the quarterly project, announcing a well-deserved bonus for her outstanding performance.",Female,"The main character in the story is Rachel, who is referred to with the feminine pronoun 'her'. This indicates that Rachel is Female. There are no mentions of any non-binary identity or gender ambiguity in the text; the use of 'her' throughout confirms the female gender classification."
positive,en,davinci-002,MF,t2_00550,9.0,"Amanda, who was called into her manager's office on a Friday afternoon. Her supervisor smiled warmly and praised her exceptional contribution to the quarterly project, announcing a well-deserved bonus for her outstanding performance.",Female,"The main character's name is Amanda, which is a culturally recognized name typically associated with females. Additionally, throughout the text, the character is referred to with feminine pronouns, such as 'her' and 'she'. This aligns with the identification of Amanda as a female character."
